,solar_multiple,stg_cap,stg_heat_stored,pb_energy_dispatched,sf_cf,pb_cf,revenue_tot,revenue_daily,sf_time_operation,pb_time_operation,stg_min_stored,stg_max_stored,lcoh,lcoe,pb_cost,cost_capital,roi,payback_period,npv,date_simulation
17,1.2000000000000002,10.0,39375.798185341264,17519.217707629978,0.1195466524134766,0.12631014929798112,1870376.5929523879,5124.319432746269,1079.170918367347,530.7397959183673,0.0,255.8566861560567,52.99731127881765,214.85408218282907,876.4404483012722,8758.12052052941,-0.9791562948370685,3030.0,-85.75568838618074,1766768380.0749788
18,1.2000000000000002,12.0,39375.798185341264,17519.217707629978,0.1195466524134766,0.12631014929798112,1870376.5929523879,5124.319432746269,1079.170918367347,530.7397959183673,0.0,255.8566861560567,56.4057764430007,222.59636929139253,876.4404483012722,9073.72021922929,-0.9905748842153145,3030.0000000000005,-89.88199355565212,1766768380.590845
19,1.2000000000000002,14.0,39375.798185341264,17519.217707629978,0.1195466524134766,0.12631014929798112,1870376.5929523879,5124.319432746269,1079.170918367347,530.7397959183673,0.0,255.8566861560567,59.746014953941156,230.1836803880515,876.4404483012722,9383.002613755745,-1.00101968484892,30.0,-93.92570319358367,1766768381.3132925
20,1.2000000000000002,16.0,39375.798185341264,17519.217707629978,0.1195466524134766,0.12631014929798112,1870376.5929523879,5124.319432746269,1079.170918367347,530.7397959183673,0.0,255.8566861560567,63.030910212480244,237.64527996090908,876.4404483012722,9687.160615647506,-1.0106409699872665,30.0,-97.90241401020441,1766768382.0532248
21,1.3000000000000003,4.0,39375.798185341264,17590.676907436242,0.1195466524134766,0.13739413590283056,1861525.868985256,5100.070873932208,1050.983075168474,577.2959183673469,-1.4210854715202004e-14,233.8461538461538,41.46962549572793,183.21184492422455,904.1625049705477,7498.746944654151,-0.9258357261104883,879.960802155693,-69.42607822422681,1766768383.0289943
22,1.3000000000000003,6.0,39375.798185341264,17590.676907436242,0.1195466524134766,0.13739413590283056,1861525.868985256,5100.070873932208,1079.170918367347,577.2959183673469,0.0,255.8566861560567,45.0103523642211,191.22189067901016,904.1625049705477,7826.59313906959,-0.9418210295615831,1132.2045350670926,-73.71250008198143,1766768383.842926
23,1.3000000000000003,8.0,39375.798185341264,17590.676907436242,0.1195466524134766,0.13739413590283056,1861525.868985256,5100.070873932208,1079.170918367347,577.2959183673469,0.0,255.8566861560567,48.38280356371487,198.85125307182952,904.1625049705477,8138.858200078475,-0.9558491455579521,1504.0422593290623,-77.79520656362342,1766768384.4321392
24,1.3000000000000003,10.0,39375.798185341264,17590.676907436242,0.1195466524134766,0.13739413590283056,1861525.868985256,5100.070873932208,1079.170918367347,577.2959183673469,0.0,255.8566861560567,51.64260248487383,206.22576668998843,904.1625049705477,8440.692459131711,-0.9684221528392325,2118.053079708866,-81.74153562726207,1766768385.1130447
25,1.3000000000000003,12.0,39375.798185341264,17590.676907436242,0.1195466524134766,0.13739413590283056,1861525.868985256,5100.070873932208,1079.170918367347,577.2959183673469,0.0,255.8566861560567,54.81949187666506,213.41271737307525,904.1625049705477,8734.849883824789,-0.9798393233264555,3030.0,-85.5874939952505,1766768385.6331933
26,1.3000000000000003,14.0,39375.798185341264,17590.676907436242,0.1195466524134766,0.13739413590283056,1861525.868985256,5100.070873932208,1079.170918367347,577.2959183673469,0.0,255.8566861560567,57.93172018941493,220.45338786542388,904.1625049705477,9023.020151225634,-0.9903022694870754,3030.0,-89.3551733338636,1766768386.24294
27,1.3000000000000003,16.0,39375.798185341264,17590.676907436242,0.1195466524134766,0.13739413590283056,1861525.868985256,5100.070873932208,1079.170918367347,577.2959183673469,0.0,255.8566861560567,60.991496718127024,227.3753987701603,904.1625049705477,9306.333755453696,-0.9999571982130846,3030.0,-93.05935427739331,1766768387.0132024
28,1.4000000000000004,4.0,39375.798185341264,17994.465337651836,0.1195466524134766,0.15135935756256055,1895956.008628825,5194.400023640616,1033.325968839975,635.9566326530612,-1.0658141036401503e-14,217.14285714285708,40.928503284881195,173.86879681160815,930.6290763184704,7279.695169469658,-0.9070821066316426,777.7554031930106,-66.0328122995873,1766768387.633063
29,1.4000000000000004,6.0,39375.798185341264,18152.576442974772,0.1195466524134766,0.15268929956840116,1907705.3657033572,5226.590043022897,1079.170918367347,641.5433673469388,0.0,255.8566861560567,44.25170292326512,179.63960906828413,930.6290763184704,7587.399885250401,-0.920938387758103,823.0942852761058,-69.8752781759852,1766768388.2849097
30,1.4000000000000004,8.0,39375.798185341264,18152.576442974772,0.1195466524134766,0.15268929956840116,1907705.3657033572,5226.590043022897,1079.170918367347,641.5433673469388,0.0,255.8566861560567,47.414786907168875,186.57382834502624,930.6290763184704,7880.27902709186,-0.935303475853575,1014.3090216112239,-73.70452364735046,1766768388.8500388
