n_heliostats,receiver_area,max_heat_flux,avg_heat_flux,heat_stored,residence_time,particle_velocity,heliostat_efficiency,bdr_efficiency,solar_field_efficiency,receiver_efficiency,thermal_efficiency,mass_flow_rate,temp_parts_avg,temp_parts_max,temp_parts_min,temp_parts_std,iterations,solve_time_res,simulation_status,case_name,focal_height,receiver_power,thickness,simulation_time,success
6766,18.25682071006684,3.5944799817108026,0.5,25.005849693927132,21.27573987397817,0.10790276956991261,0.6864114744873651,0.7903855190459066,0.5428717189342731,0.8404717049358511,0.4562683191741447,78.037668484251,1199.9996740339657,1330.3176730758212,950.0,87.9422248118798,11,True,converged,zf40_Q0.50_P25.0_tz0.050,40,25,0.05,123.87330651283264,True
6779,18.25682071006684,3.7391251295991266,0.5,25.00006947061126,29.783262406800567,0.07708058390967527,0.6861521216618744,0.7902430975002208,0.542606090857368,0.8390765983944628,0.4552880729847172,78.01951231853695,1199.9999999999998,1330.0406714799308,950.0,87.89013377793592,9,True,converged,zf40_Q0.50_P25.0_tz0.070,40,25,0.07,98.58014845848083,True
8915,18.25682071006684,3.9824141336503525,0.5,30.0003704683401,10.620483203937969,0.2161588331687245,0.6691034621488502,0.7306334934773702,0.49059735356518547,0.8468193260751583,0.4154473203203265,93.84350746920195,1199.4320938423202,1313.7998451901924,950.0,83.44966388517918,7,False,standard,zf40_Q0.50_P30.0_tz0.030,40,30,0.03,73.59578728675842,True
8875,18.25682071006684,4.004416078054735,0.5,30.003045138274153,17.649189854459173,0.1300745969635112,0.6695914204022321,0.7316120886512061,0.49153187727215036,0.8490944010066541,0.4173569649080727,94.08047251367104,1198.8480088184017,1324.0432327882636,950.0,84.57517389793458,12,True,converged,zf40_Q0.50_P30.0_tz0.050,40,30,0.05,108.3235456943512,True
8887,18.25682071006684,3.9605021882202305,0.5,30.001797859369336,24.825019187154584,0.09247570927313349,0.6692942975775653,0.73132445629797,0.4912096479096106,0.848468852750285,0.41677608642173875,93.62750813945857,1200.0000000000002,1327.105318759075,950.0,84.53224348411344,9,True,converged,zf40_Q0.50_P30.0_tz0.070,40,30,0.07,106.963054895401,True
2393,18.25682071006684,2.2778563052256993,0.75,10.000945550829261,31.837210485954166,0.07210780159474343,0.755412260833996,0.8867815953720831,0.6697007146524373,0.7704213218465703,0.5159517098241235,31.21507992007527,1200.0000000000002,1371.1104447779949,950.0,117.43282016050522,6,True,converged,zf40_Q0.75_P10.0_tz0.030,40,10,0.03,104.00370264053345,True
2398,18.25682071006684,2.321537094326159,0.75,10.003660143239088,52.896805305796946,0.0433998091903611,0.7553461421044825,0.8865944372130303,0.6695056989650711,0.7692476245362574,0.5150156685423676,31.250212131787137,1199.7941323887048,1377.8322382017375,950.0,117.43744547748835,4,False,standard,zf40_Q0.75_P10.0_tz0.050,40,10,0.05,84.8824987411499,True
2399,18.25682071006684,2.438566302867003,0.75,10.002800397411185,74.02656853176137,0.031011990729602503,0.7550191810214314,0.8869793428786925,0.6695043479061661,0.7688624386595196,0.5147567456242863,31.31064531933936,1199.3071006060577,1371.5028900365667,950.0,116.69922870567076,4,False,standard,zf40_Q0.75_P10.0_tz0.070,40,10,0.07,79.48246240615845,True
3654,18.25682071006684,2.8687138888963157,0.75,15.000652868290366,21.24752559451048,0.10804605208450196,0.728792324208393,0.8638670033851866,0.6291885897428572,0.8055109930991432,0.5068183257704183,46.80143678179491,1200.076333999252,1346.1897847030161,950.0,100.6712875345124,5,False,standard,zf40_Q0.75_P15.0_tz0.030,40,15,0.03,79.4556896686554,True
3649,18.25682071006684,2.8177965364947766,0.75,15.00136730697203,35.476774451627904,0.06471025882528975,0.7284768482871623,0.8646331054999389,0.6294697946418456,0.8062927934468435,0.5075369591121845,46.818546111136634,1199.9999999999995,1344.1095310786495,950.0,101.03699343343213,7,True,converged,zf40_Q0.75_P15.0_tz0.050,40,15,0.05,97.26464414596558,True
