,P_el,T_htf_hot_des,T_amb_des,W_dot_net_des,eta_thermal_calc,m_dot_htf_des,cycle_cost,cycle_spec_cost,cycle_spec_cost_thermal,W_dot_net_less_cooling,eta_thermal_net_less_cooling_des,mc_W_dot,mc_cost,rc_W_dot,rc_cost,c_tot_cost,c_tot_W_dot,t_W_dot,t_cost,LTR_UA_calculated,recup_total_UA_calculated,recup_total_cost,LTR_cost,HTR_UA_calculated,HTR_cost,NTU_LTR,NTU_HTR,UA_PHX,eff_PHX,q_dot_PHX,PHX_cost,mc_cooler_P_in,mc_cooler_T_in,mc_cooler_UA,mc_cooler_cost,mc_cooler_W_dot_fan,cooler_tot_cost,cooler_tot_UA,T_turb_in,t_T_out_des,HTR_LP_T_out_des,T_co2_PHX_in,eta_pb,T_pH,C_pb,cycle_spec_cost_Sandia
76,6.0,725.0,35.0,6.12,0.4669740605807486,75.17542310641758,12.509352174000089,2044.0117931372693,954.5004869162478,5.997599999999999,0.4576345793691336,1.2651956495207048,1.8991978638228584,1.1886860694505197,1.8090027914506093,3.708200655273468,2.4538817189712248,8.573881718971224,3.824877186530815,0.5612156132949413,1.2017513335956085,1.5021891669945109,0.7015195166186766,0.6405357203006671,0.8006696503758339,7.029996125249025,10.569690063472148,0.6645997728540607,0.8963211732814562,13.105653004342276,2.3260992049892124,9.44121671375414,93.84883189953403,0.4991243305269923,1.1479859602120823,0.1224,1.1479859602120823,0.4991243305269923,705.0,584.8027763261737,220.0,532.18555121293,0.4576345793691336,725.0,12.509352174000089,1030.9528201969574
77,6.0,700.0,35.0,6.12,0.4585835665471188,77.89296182709721,12.869162037613526,2102.8042545120143,964.3114747845748,5.997599999999999,0.4494118952161764,1.3454812173071065,1.9933586885677248,1.2845020606304334,1.9227425886806384,3.916101277248364,2.62998327793754,8.74998327793754,3.878455382198813,0.569606274976735,1.226013331930662,1.5325166649133273,0.7120078437209187,0.656407056953927,0.8205088211924086,7.084978624732749,10.404610244385635,0.6759432414471391,0.8947128566546738,13.345441150628712,2.365801345064987,9.348073930121986,96.035512193425,0.5114292905165367,1.1762873681880346,0.1224,1.1762873681880346,0.5114292905165367,680.0,560.6180813667278,220.0,510.1498563102175,0.4494118952161764,700.0,12.869162037613526,967.5477586497078
78,7.0,1000.0,35.0,7.140000000000001,0.539320667467322,62.753196219149245,11.99494988734475,1679.9649702163515,906.0398290588024,6.997200000000001,0.5285342541179755,1.211765614814158,1.835827784317722,0.9992192698230912,1.577465115331393,3.413292899649115,2.210984884637249,9.35098488463725,4.058803815394566,0.386247202930222,1.0172717490017684,1.2715896862522105,0.4828090036627775,0.6310245460715463,0.7887806825894329,7.215690052401626,12.634832452601358,0.6733931711694137,0.9127070927152398,13.238877036791145,2.356876099092948,9.081445489421624,108.7691869596033,0.388864081285179,0.8943873869559117,0.1428,0.8943873869559117,0.388864081285179,980.0,830.6850062543348,275.6586598705352,770.8863111322765,0.5285342541179755,1000.0,11.99494988734475,2520.080101465089
79,7.0,975.0,35.0,7.140000000000001,0.5339846234141598,64.36482157589528,12.157057143909004,1702.66906777437,909.1991009544354,6.997200000000001,0.5233049309458766,1.2348946116286237,1.863331401621068,1.031985764936823,1.6180089055299287,3.4813403071509965,2.266880376565447,9.406880376565448,4.075387900904976,0.3998577657589233,1.039125955922569,1.298907444903211,0.4998222071986541,0.6392681901636456,0.7990852377045569,7.206094552547439,12.477804535321855,0.6802497428651102,0.911471141919414,13.37117154113668,2.380874100027886,9.093704664530764,107.93687252497926,0.4002379960530155,0.9205473909219356,0.1428,0.9205473909219356,0.4002379960530155,955.0,808.1440233790378,271.0438826032864,749.0849658108676,0.5233049309458766,975.0,12.157057143909004,2320.7230922556287
80,7.0,950.0,35.0,7.140000000000001,0.5284104037398241,66.1231697628043,12.295050534888151,1721.9958732336347,909.9205346136958,6.997200000000001,0.5178421956650276,1.237880147478566,1.866873570274567,1.0552185293594163,1.646589162156587,3.5134627324311536,2.293098676837982,9.433098676837982,4.083156093710954,0.4185266424752519,1.0651485351013563,1.3314356688766953,0.5231583030940649,0.6466218926261045,0.8082773657826305,7.171938321734617,12.294715825774478,0.6874916776402251,0.910134081039808,13.51222449343665,2.406220871740788,9.146117565341797,105.32642333026256,0.4177283339689396,0.9607751681285612,0.1428,0.9607751681285612,0.4177283339689396,930.0,786.2267292203711,264.3516971444594,727.4462195298618,0.5178421956650276,950.0,12.295050534888151,2127.9285127258786
81,7.0,925.0,35.0,7.140000000000001,0.5227352385310542,67.97788629943435,12.466709371526251,1746.037727104517,912.7154477621992,6.997200000000001,0.512280533760433,1.2548880023348103,1.887017799379462,1.0876983106364104,1.6863213723973205,3.5733391717767824,2.3425863129712208,9.482586312971224,4.097800180862167,0.436550274021373,1.0925033237090815,1.365629154636352,0.5456878425267162,0.6559530496877085,0.8199413121096356,7.152473267756755,12.12646168066258,0.6949712022755811,0.9087451112375292,13.658922287436024,2.432399207964534,9.17824833977032,104.29944021752571,0.4337137636027904,0.997541656286418,0.1428,0.997541656286418,0.4337137636027904,905.0,763.9527098339046,259.38173344048334,705.8336597584043,0.512280533760433,925.0,12.466709371526251,1950.4238043317177
82,7.0,900.0,35.0,7.140000000000001,0.5167287683429372,69.76440460148197,12.71974720420994,1781.477199469179,920.540519112734,6.997200000000001,0.5063941929760785,1.32618809023581,1.970843410399309,1.1497932824806016,1.7615863999176258,3.732429810316936,2.4759813727164115,9.615981372716414,4.137154006879565,0.4429829580980136,1.1107933377086074,1.3884916721357592,0.5537286976225171,0.6678103796105938,0.8347629745132421,7.205286424639662,11.997104010165446,0.7030882966159474,0.9075452092327772,13.817693996207698,2.460809038155816,9.109359131073456,106.54913835849624,0.4351576855312455,1.000862676721865,0.1428,1.000862676721865,0.4351576855312455,880.0000000000001,740.0964630132249,259.0613330603709,683.6780568043498,0.5063941929760785,900.0,12.71974720420994,1795.4058696476932
83,7.0,875.0,35.0,7.140000000000001,0.5102256542535595,71.9261332816663,12.848008050871924,1799.4409034834623,918.120912270466,6.997200000000001,0.5000211411684884,1.3054298500529948,1.946540071409268,1.161213323156017,1.776051222605281,3.722591294014549,2.466643173209012,9.606643173209012,4.134404714615456,0.4743953666469234,1.1488154195253963,1.4360192744067453,0.5929942083086543,0.6744200528784728,0.843025066098091,7.131908459501188,11.768302012994033,0.711944968918129,0.9060364742243096,13.99380830908149,2.4918073912134515,9.215977869053138,102.1243580362272,0.4622545115746621,1.063185376621723,0.1428,1.063185376621723,0.4622545115746621,855.0000000000001,718.9211502504218,249.45253657615467,662.1514523076005,0.5000211411684884,875.0,12.848008050871924,1633.0991485376505
84,7.0,850.0,35.0,7.140000000000001,0.5037897052049238,74.08780793602016,13.057918808609948,1828.8401692731013,921.3508497450188,6.997200000000001,0.4937139111008254,1.3353722899975295,1.9815701261567296,1.2014127643298014,1.824233053876593,3.8058031800333225,2.536785054327331,9.67678505432733,4.155034866350768,0.4949838880590462,1.1799900300195318,1.4749875375244148,0.6187298600738077,0.6850061419604856,0.856257677450607,7.124195051294597,11.588685991274897,0.7209072587595505,0.904586315728468,14.17258019811203,2.5231754056584266,9.23279684888874,101.25958689425192,0.4777903561056593,1.0989178190430164,0.1428,1.0989178190430164,0.4777903561056593,830.0000000000001,696.3436491285822,245.14576609538423,640.3864613057033,0.4937139111008254,850.0,13.057918808609948,1492.5424937616408
85,7.0,825.0,35.0,7.140000000000001,0.497052846368842,76.38359435274614,13.28764432844098,1861.014611826468,925.0226099423514,6.997200000000001,0.4871117894414652,1.3712913173047352,2.023371924882799,1.2468763905921043,1.8783118505846177,3.9016837754674167,2.6181677078968395,9.75816770789684,4.178912072443294,0.5161043370902508,1.2125157924211218,1.5156447405264024,0.6451304213628136,0.6964114553308709,0.8705143191635887,7.121403688525967,11.407346091583593,0.7304753988032227,0.9031041630050688,14.36466977738964,2.55666389581128,9.242186768305547,100.6511055359784,0.4933651496489519,1.1347398441925896,0.1428,1.1347398441925896,0.4933651496489519,805.0000000000001,673.6377024814593,241.1745745122973,618.5927835955118,0.4871117894414652,825.0,13.28764432844098,1364.655141830753
