,lat,alt,azi,rO,eta_cos,eta_blk,eta_att,eta_hbi,eta_tdi,eta_tdr,eta_BDR,eta_SF,Qmax_BDR,Qmax,eta_rcv,Prcv_abs
0,-25,10,0,1.318094758,0.733428139,0.993082136,0.973857162,0.979157782,0.905808181,0.968192006,0.818184377,0.546916528,2947.724864,2.524231798,0.828946046,18.91380651
1,-25,10,5,1.318094758,0.73280196,0.993067282,0.973857099,0.979148643,0.90516739,0.968208629,0.817638761,0.545283124,2905.049772,2.549935554,0.827732644,18.8861207
2,-25,10,10,1.318094758,0.732131527,0.993407427,0.973857467,0.979334846,0.904644607,0.967985336,0.817105317,0.545050303,3007.478184,2.723069554,0.8262393,18.85204753
3,-25,10,15,1.318094758,0.730315618,0.993429898,0.97385721,0.97932866,0.903164858,0.967985713,0.81572768,0.543197451,2924.468668,2.663384488,0.83512313,19.05474716
4,-25,10,20,1.318094758,0.728113136,0.993479655,0.973857368,0.979198288,0.9026085,0.967888764,0.81502604,0.541759815,2928.441804,2.372216185,0.828065608,18.89371783
5,-25,10,25,1.318094758,0.72505408,0.993200177,0.97385742,0.978706015,0.901717798,0.967950093,0.813896296,0.538808587,2962.132944,2.40279882,0.833871572,19.02619074
6,-25,10,30,1.318094758,0.721502827,0.993440601,0.973857501,0.978995642,0.900871659,0.967824206,0.813199235,0.536886241,2998.885779,2.588280567,0.834928805,19.05031329
7,-25,10,45,1.318094758,0.707948941,0.993727121,0.97385704,0.978341122,0.898888209,0.967912764,0.811009809,0.528012059,3050.747784,2.460121382,0.836357004,19.08290006
8,-25,10,60,1.318094758,0.690171845,0.993244598,0.973857228,0.977639312,0.897292178,0.967781026,0.808969024,0.516263246,2842.192355,2.476752889,0.836423572,19.08441893
9,-25,10,75,1.318094758,0.66992776,0.993745805,0.973857591,0.977066697,0.895172188,0.968074391,0.80697281,0.504658865,2917.493179,2.558893968,0.837484245,19.10861999
10,-25,10,90,1.318094758,0.648658754,0.993664767,0.973857561,0.976513353,0.892552817,0.967868579,0.804261632,0.492531214,2821.535784,2.551313793,0.841168987,19.19269359
11,-25,10,105,1.318094758,0.627581813,0.993843557,0.973858246,0.975277819,0.888612318,0.967801132,0.799932842,0.478588106,2890.643258,2.592908108,0.846627088,19.31722942
12,-25,10,120,1.318094758,0.608109159,0.993570326,0.973858103,0.974595059,0.884847329,0.967522607,0.796038689,0.465209535,2925.346466,2.803945804,0.83402402,19.02966909
13,-25,20,0,1.318094758,0.757024104,0.99134472,0.973849094,0.980227629,0.913012001,0.968010189,0.825567924,0.557448707,2984.591195,2.488330412,0.831411211,18.97005343
14,-25,20,5,1.318094758,0.756591762,0.991403282,0.973849283,0.980252554,0.913054349,0.967888019,0.825485837,0.556577789,2971.960573,2.49743594,0.829747591,18.93209513
15,-25,20,10,1.318094758,0.755282934,0.991377507,0.973849013,0.980381347,0.913140304,0.967875925,0.825601511,0.554337684,3184.299955,2.563038792,0.827812618,18.88794545
16,-25,20,15,1.318094758,0.753840107,0.991268205,0.973849136,0.980244764,0.912250238,0.967903509,0.82471279,0.552341686,3186.589607,2.462342692,0.832640152,18.99809381
17,-25,20,20,1.318094758,0.751772983,0.991574754,0.973849104,0.98063683,0.912008572,0.967749884,0.824708418,0.551347127,3109.394199,2.481394148,0.834176702,19.03315279
18,-25,20,25,1.318094758,0.749127938,0.991492836,0.973849159,0.980239002,0.911144506,0.967737209,0.823618276,0.549349127,3163.904489,2.452002149,0.834998893,19.05191246
19,-25,20,30,1.318094758,0.746188858,0.991373824,0.973849091,0.980160758,0.911149413,0.96774293,0.823499914,0.547226653,3048.231601,2.447662039,0.834993823,19.05179679
20,-25,20,45,1.318094758,0.733608369,0.99163893,0.973848761,0.980042618,0.908239742,0.967752478,0.820750151,0.538574093,3063.868274,2.364634189,0.83426467,19.03515994
21,-25,20,60,1.318094758,0.718190106,0.991808675,0.973848668,0.979839292,0.905510429,0.967606266,0.818004875,0.527710595,3038.248532,2.465023605,0.843128555,19.23740447
22,-25,20,75,1.318094758,0.69974259,0.992082731,0.973848585,0.978711726,0.901436619,0.967511719,0.813468628,0.514558925,3288.721403,2.601610443,0.837461677,19.10810504
23,-25,20,90,1.318094758,0.680082781,0.992107079,0.973848572,0.978469733,0.898304722,0.96733155,0.810462943,0.500652474,3276.776288,2.511502933,0.836721114,19.09120786
24,-25,20,105,1.318094758,0.661437523,0.992537492,0.973848706,0.977180219,0.895650839,0.967323833,0.807274215,0.487665749,3092.525376,2.615530916,0.840729818,19.18267323
25,-25,20,120,1.318094758,0.643718152,0.992660188,0.973848166,0.976927149,0.893388931,0.967338216,0.805250415,0.476698471,3093.482746,2.635863123,0.840921891,19.18705568
26,-25,30,0,1.318094758,0.778705738,0.992756252,0.973846091,0.980495487,0.918204315,0.967679034,0.830247094,0.579013863,3270.888097,2.401610748,0.826763998,18.86401941
